step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
183,CASH_OUT,5566.14,C1626151381,5566.14,0.0,C567898668,0.0,5566.14,1,0
656,TRANSFER,110528.53,C307234825,110528.53,0.0,C949239257,0.0,0.0,1,0
737,TRANSFER,946705.53,C1524194171,946705.53,0.0,C357888969,0.0,0.0,1,0
309,CASH_OUT,222694.08,C1931470495,222694.08,0.0,C1495297398,0.0,222694.08,1,0
694,TRANSFER,174107.36,C1167176851,174107.36,0.0,C1633521068,0.0,0.0,1,0
659,TRANSFER,1467987.57,C2035870900,1467987.57,0.0,C1336055115,0.0,0.0,1,0
414,CASH_OUT,10000000.0,C2071282373,10000000.0,0.0,C803763593,0.0,10000000.0,1,0
193,CASH_OUT,660746.19,C1149059890,660746.19,0.0,C777809380,935791.84,1596538.03,1,0
63,TRANSFER,148188.84,C1621152719,148188.84,0.0,C2001263601,0.0,0.0,1,0
250,TRANSFER,177217.55,C1034306839,177217.55,0.0,C1979293202,0.0,0.0,1,0
732,TRANSFER,417129.11,C661000203,417129.11,0.0,C1308507305,0.0,0.0,1,0
339,TRANSFER,373531.87,C1176876206,373531.87,0.0,C29820940,0.0,0.0,1,0
404,TRANSFER,540914.12,C935920556,540914.12,0.0,C332143191,0.0,0.0,1,0
77,TRANSFER,819048.34,C1528612318,819048.34,0.0,C669563371,0.0,0.0,1,0
626,TRANSFER,44577.32,C2086578644,44577.32,0.0,C811242646,0.0,0.0,1,0
652,CASH_OUT,80397.86,C1111928189,80397.86,0.0,C909134894,410068.69,490466.54,1,0
618,CASH_OUT,114483.78,C934338438,114483.78,0.0,C209796396,780631.49,895115.27,1,0
87,CASH_OUT,114339.1,C183849466,114339.1,0.0,C1798936808,41413.23,155752.33,1,0
23,TRANSFER,146127.1,C1866778945,146127.1,0.0,C225469649,0.0,0.0,1,0
264,TRANSFER,84196.79,C1271945104,84196.79,0.0,C622968772,0.0,0.0,1,0
381,TRANSFER,703882.14,C1086283812,703882.14,0.0,C575658952,0.0,0.0,1,0
379,CASH_OUT,17216.14,C2031058034,17216.14,0.0,C413925568,30730.87,47947.01,1,0
179,CASH_OUT,445705.76,C1911704726,445705.76,0.0,C960848277,0.0,445705.76,1,0
461,CASH_OUT,1464614.79,C1138281794,1464614.79,0.0,C1873232780,0.0,1464614.79,1,0
488,TRANSFER,5363795.31,C46940943,5363795.31,0.0,C1142866922,0.0,0.0,1,0
349,CASH_OUT,977805.62,C1659764623,977805.62,0.0,C711079235,0.0,977805.62,1,0
345,TRANSFER,132973.41,C1231621270,132973.41,0.0,C463737708,0.0,0.0,1,0
274,CASH_OUT,70753.9,C1421336308,70753.9,0.0,C1662149928,0.0,70753.9,1,0
247,CASH_OUT,76646.05,C1873858924,76646.05,0.0,C587506100,0.0,76646.05,1,0
71,TRANSFER,322113.91,C1765119291,322113.91,0.0,C371379583,0.0,0.0,1,0
660,CASH_OUT,14360.12,C808321528,14360.12,0.0,C314882858,8869218.72,8883578.84,1,0
271,CASH_OUT,642364.74,C790384924,642364.74,0.0,C348795905,0.0,642364.74,1,0
198,TRANSFER,2634032.61,C742596177,2634032.61,0.0,C1639263930,0.0,0.0,1,0
532,TRANSFER,254719.63,C1828919793,254719.63,0.0,C1458046968,0.0,0.0,1,0
625,TRANSFER,2654302.46,C286057800,2654302.46,0.0,C1593401972,0.0,0.0,1,0
394,CASH_OUT,201247.25,C1380307239,201247.25,0.0,C1910018633,1296099.23,1497346.48,1,0
156,CASH_OUT,805319.81,C1597187760,805319.81,0.0,C1975329762,0.0,805319.81,1,0
652,TRANSFER,2911505.23,C1683729969,2911505.23,0.0,C557033420,0.0,0.0,1,0
520,TRANSFER,3283695.97,C649961237,3283695.97,0.0,C1812152397,0.0,0.0,1,0
420,CASH_OUT,1464160.5,C2024056212,1464160.5,0.0,C1653697681,462739.95,1926900.44,1,0
202,CASH_OUT,2263927.04,C94525444,2263927.04,0.0,C1450888906,0.0,2263927.04,1,0
71,TRANSFER,304085.48,C378617827,304085.48,0.0,C1265131322,0.0,0.0,1,0
65,CASH_OUT,701168.78,C1795901064,701168.78,0.0,C1652576276,841462.58,1542631.35,1,0
527,CASH_OUT,1094419.89,C171594186,1094419.89,0.0,C31581400,6352690.24,7447110.13,1,0
122,CASH_OUT,188249.17,C670393440,188249.17,0.0,C928566980,381115.19,569364.36,1,0
285,TRANSFER,1421665.98,C1217403648,1421665.98,0.0,C483706610,0.0,0.0,1,0
321,CASH_OUT,203874.62,C2016803098,203874.62,0.0,C1127806629,472690.19,676564.81,1,0
229,CASH_OUT,143332.0,C159990458,143332.0,0.0,C1025108799,482652.15,716367.34,1,0
263,CASH_OUT,273408.94,C243815922,273408.94,0.0,C227208955,0.0,273408.94,1,0
676,CASH_OUT,327773.15,C1561550785,327773.15,0.0,C1078506798,696949.46,1024722.61,1,0
111,CASH_OUT,3595911.39,C1877698691,3595911.39,0.0,C1757559397,82970.96,3678882.35,1,0
187,CASH_OUT,856386.66,C1887925622,856386.66,0.0,C128909445,256445.98,1112832.65,1,0
509,CASH_OUT,1994525.04,C2059919874,1994525.04,0.0,C1227773063,337740.87,2332265.91,1,0
698,CASH_OUT,131842.85,C494904696,131842.85,0.0,C1742037913,3479.07,135321.92,1,0
234,TRANSFER,264949.69,C1912538788,264949.69,0.0,C455997820,0.0,0.0,1,0
270,TRANSFER,134623.95,C1664606481,134623.95,0.0,C1000039615,0.0,0.0,1,0
439,TRANSFER,3653274.35,C1750635867,3653274.35,0.0,C175456218,0.0,0.0,1,0
251,TRANSFER,82112.74,C106888185,82112.74,0.0,C299512906,0.0,0.0,1,0
108,CASH_OUT,566142.89,C501067498,566142.89,0.0,C2079441909,1344558.46,1910701.34,1,0
629,CASH_OUT,7922.98,C1629313873,7922.98,0.0,C215301926,0.0,7922.98,1,0
732,CASH_OUT,1157971.07,C1123625591,1157971.07,0.0,C355172230,2974237.06,4132208.13,1,0
464,TRANSFER,336917.97,C1108270870,336917.97,0.0,C815315430,0.0,0.0,1,0
281,TRANSFER,2554662.97,C325102191,2554662.97,0.0,C1742243055,0.0,0.0,1,0
365,TRANSFER,93581.19,C948820574,93581.19,0.0,C1013301931,0.0,0.0,1,0
586,CASH_OUT,2581549.92,C648614053,2581549.92,0.0,C213455810,0.0,2581549.92,1,0
581,TRANSFER,155002.83,C1691713014,155002.83,0.0,C71357990,0.0,0.0,1,0
697,CASH_OUT,1226390.31,C1387290846,1226390.31,0.0,C2032479397,203175.25,1429565.56,1,0
145,TRANSFER,1767886.02,C1544286887,1767886.02,0.0,C436837170,0.0,0.0,1,0
670,TRANSFER,1938347.14,C574846060,1938347.14,0.0,C1073035418,0.0,0.0,1,0
84,CASH_OUT,4830219.15,C610088962,4830219.15,0.0,C1925322228,0.0,4830219.15,1,0
503,CASH_OUT,251683.05,C1957817562,251683.05,0.0,C1713552362,0.0,251683.05,1,0
4,CASH_OUT,169941.73,C2026325575,169941.73,0.0,C1394526584,0.0,169941.73,1,0
542,CASH_OUT,7469051.14,C1841900359,7469051.14,0.0,C1129100193,94820.42,7563871.56,1,0
261,TRANSFER,2689633.8,C1607707310,2689633.8,0.0,C1422177291,0.0,0.0,1,0
581,CASH_OUT,155002.83,C1511917182,155002.83,0.0,C30026767,0.0,155002.83,1,0
29,TRANSFER,268641.82,C775733773,268641.82,0.0,C2121303056,0.0,0.0,1,0
212,TRANSFER,1947807.58,C1501311535,1947807.58,0.0,C37561886,0.0,0.0,1,0
163,CASH_OUT,163294.35,C1921431894,163294.35,0.0,C1280060028,234212.42,397506.77,1,0
262,TRANSFER,201281.36,C1271087457,201281.36,0.0,C1017401472,0.0,0.0,1,0
209,CASH_OUT,1516823.73,C1090892452,1516823.73,0.0,C657813915,386329.46,1903153.19,1,0
170,TRANSFER,871893.15,C139567724,871893.15,0.0,C2000039513,0.0,0.0,1,0
111,CASH_OUT,98692.72,C982480526,98692.72,0.0,C1665025289,67599.16,166291.88,1,0
229,TRANSFER,38580.45,C715571167,38580.45,0.0,C650699445,0.0,0.0,1,0
613,CASH_OUT,86002.09,C1363187770,86002.09,0.0,C1320785064,0.0,86002.09,1,0
285,CASH_OUT,752639.78,C1541138179,752639.78,0.0,C810413951,290612.69,1043252.47,1,0
462,CASH_OUT,1433038.32,C994987867,1433038.32,0.0,C725098002,116466.92,1549505.24,1,0
692,CASH_OUT,349619.91,C925944949,349619.91,0.0,C345169466,1472559.62,1822179.54,1,0
62,TRANSFER,722380.88,C1429215839,722380.88,0.0,C1401928307,0.0,0.0,1,0
160,TRANSFER,1284959.39,C1764461949,1284959.39,0.0,C160976870,0.0,0.0,1,0
173,CASH_OUT,176273.29,C14325153,176273.29,0.0,C856044772,0.0,176273.29,1,0
185,CASH_OUT,131597.73,C1484249686,131597.73,0.0,C437393063,0.0,0.0,1,0
723,CASH_OUT,6199009.0,C935658927,6199009.0,0.0,C1938522935,938804.47,7137813.47,1,0
436,TRANSFER,539658.73,C1496866222,539658.73,0.0,C2010123268,0.0,0.0,1,0
197,CASH_OUT,486060.16,C558066114,486060.16,0.0,C1244940749,0.0,486060.16,1,0
119,CASH_OUT,1082718.08,C1700746062,1082718.08,0.0,C2094758732,0.0,1082718.08,1,0
21,CASH_OUT,23292.3,C1861214292,0.0,0.0,C1834461593,392364.62,415656.92,1,0
593,CASH_OUT,125146.75,C1198861647,125146.75,0.0,C490114096,1820417.69,1945564.44,1,0
446,TRANSFER,311487.14,C1728700338,311487.14,0.0,C1489729408,0.0,0.0,1,0
351,TRANSFER,6721321.33,C1914099833,6721321.33,0.0,C1517275009,0.0,0.0,1,0
122,TRANSFER,188249.17,C2026720299,188249.17,0.0,C669965600,0.0,0.0,1,0
352,TRANSFER,1962548.46,C139606427,1962548.46,0.0,C2082743623,0.0,0.0,1,0
274,TRANSFER,2274566.61,C1462703827,2274566.61,0.0,C961774996,0.0,0.0,1,0
681,TRANSFER,807466.16,C1365547819,807466.16,0.0,C1383531200,0.0,0.0,1,0
135,CASH_OUT,7927.06,C2071408487,7927.06,0.0,C1313763244,0.0,7927.06,1,0
456,CASH_OUT,760984.58,C2076996831,760984.58,0.0,C1951439287,1550675.96,2311660.54,1,0
415,CASH_OUT,461369.99,C2081855471,461369.99,0.0,C1671232989,2572575.13,3033945.11,1,0
124,TRANSFER,1399637.19,C2129900930,1399637.19,0.0,C1804261014,0.0,0.0,1,0
137,CASH_OUT,1265379.37,C795574446,1265379.37,0.0,C1744617229,0.0,1265379.37,1,0
237,CASH_OUT,3924102.18,C390716812,3924102.18,0.0,C1387545582,0.0,3924102.18,1,0
161,TRANSFER,10000000.0,C831325954,11336901.11,1336901.11,C1166671647,0.0,0.0,1,0
542,TRANSFER,5166393.44,C1707763066,5166393.44,0.0,C190447545,0.0,0.0,1,0
619,TRANSFER,595854.2,C1100776599,595854.2,0.0,C385080311,0.0,0.0,1,0
269,TRANSFER,32527.0,C1930526816,32527.0,0.0,C1608920091,0.0,0.0,1,0
605,CASH_OUT,269692.53,C165949141,269692.53,0.0,C895796754,2248741.77,2518434.3,1,0
129,TRANSFER,139210.23,C922917235,139210.23,0.0,C1075980653,0.0,0.0,1,0
44,CASH_OUT,534255.94,C1829721095,534255.94,0.0,C991247178,24559.0,558814.94,1,0
175,TRANSFER,895565.06,C1046781112,895565.06,0.0,C556777856,0.0,0.0,1,0
546,TRANSFER,24773.86,C1068269457,24773.86,0.0,C746567344,0.0,0.0,1,0
464,CASH_OUT,1506795.1,C1504023425,1506795.1,0.0,C538717920,39851.76,1546646.86,1,0
20,TRANSFER,448025.06,C1976637754,448025.06,0.0,C4020115,0.0,0.0,1,0
673,TRANSFER,645104.5,C986606051,645104.5,0.0,C175407589,0.0,0.0,1,0
253,TRANSFER,168455.76,C1968388309,168455.76,0.0,C752698440,0.0,0.0,1,0
614,TRANSFER,4212682.84,C359671277,4212682.84,0.0,C1265391231,0.0,0.0,1,0
86,TRANSFER,88649.1,C1043173812,88649.1,0.0,C1425524479,0.0,0.0,1,0
494,CASH_OUT,103909.1,C488038887,103909.1,0.0,C862778283,0.0,103909.1,1,0
460,CASH_OUT,1424002.7,C9486206,1424002.7,0.0,C2094181723,11407.5,1435410.19,1,0
249,CASH_OUT,3138.25,C550487166,3138.25,0.0,C156487696,249297.18,252435.43,1,0
727,TRANSFER,276298.49,C2044117692,276298.49,0.0,C71460104,0.0,0.0,1,0
621,TRANSFER,3582885.46,C541955381,3582885.46,0.0,C212885805,0.0,0.0,1,0
592,CASH_OUT,369306.87,C131199741,369306.87,0.0,C1863134170,786338.72,1155645.58,1,0
497,CASH_OUT,10000000.0,C25889412,10000000.0,0.0,C1671906752,714460.87,10714460.87,1,0
419,TRANSFER,533092.45,C1329946363,533092.45,0.0,C641771382,0.0,0.0,1,0
514,CASH_OUT,3551771.18,C724176081,3551771.18,0.0,C1715461224,208369.87,3760141.06,1,0
95,TRANSFER,53062.52,C146522698,53062.52,0.0,C1122850221,0.0,0.0,1,0
705,TRANSFER,404394.04,C57037472,404394.04,0.0,C149688378,0.0,0.0,1,0
460,CASH_OUT,58058.98,C625520344,58058.98,0.0,C1699367271,822974.58,881033.56,1,0
222,CASH_OUT,35759.12,C2078657417,35759.12,0.0,C242153254,528553.38,564312.49,1,0
470,TRANSFER,864994.24,C504859386,864994.24,0.0,C1412133328,0.0,0.0,1,0
252,TRANSFER,76200.04,C376760344,76200.04,0.0,C1713255424,0.0,0.0,1,0
9,CASH_OUT,11308.0,C921533797,11308.0,0.0,C424669538,0.0,302550.56,1,0
558,CASH_OUT,209829.57,C982640738,209829.57,0.0,C982569135,0.0,209829.57,1,0
43,TRANSFER,93459.89,C1518273469,93459.89,0.0,C1076725693,0.0,0.0,1,0
444,CASH_OUT,3752520.6,C1674281831,3752520.6,0.0,C590901753,1255946.49,5008467.09,1,0
729,TRANSFER,90026.9,C2144761776,90026.9,0.0,C514777944,0.0,0.0,1,0
9,CASH_OUT,1154353.99,C1034219836,1154353.99,0.0,C1195589213,162222.0,1965587.6,1,0
399,CASH_OUT,1442075.9,C2135299801,1442075.9,0.0,C266594026,168728.6,1610804.5,1,0
321,TRANSFER,203874.62,C926108639,203874.62,0.0,C1426041212,0.0,0.0,1,0
40,CASH_OUT,2757431.53,C82669876,2757431.53,0.0,C1462250062,0.0,2757431.53,1,0
648,CASH_OUT,774868.1,C1516959235,774868.1,0.0,C1812639726,131877.41,906745.51,1,0
413,TRANSFER,115085.31,C2039186549,115085.31,0.0,C544794295,0.0,0.0,1,0
613,TRANSFER,1892137.66,C1387416875,1892137.66,0.0,C1999528314,0.0,0.0,1,0
79,CASH_OUT,61178.51,C216625470,61178.51,0.0,C1897901588,238787.35,299965.86,1,0
686,TRANSFER,1637875.33,C1652871533,1637875.33,0.0,C624254500,0.0,0.0,1,0
477,CASH_OUT,9639524.7,C560583390,9639524.7,0.0,C1975522590,0.0,9639524.7,1,0
293,TRANSFER,234673.76,C954355337,234673.76,0.0,C669925274,0.0,0.0,1,0
703,CASH_OUT,337287.72,C976181773,337287.72,0.0,C497482843,32681.26,369968.98,1,0
385,TRANSFER,617882.66,C1190371489,617882.66,0.0,C371320047,0.0,0.0,1,0
578,CASH_OUT,978103.4,C1183549962,978103.4,0.0,C481798847,0.0,978103.4,1,0
656,CASH_OUT,46291.81,C68542606,46291.81,0.0,C1411993803,799108.3,845400.11,1,0
171,CASH_OUT,2754740.54,C52657218,2754740.54,0.0,C1861630818,1767824.71,4522565.25,1,0
651,CASH_OUT,65494.78,C1340594574,65494.78,0.0,C1088639142,422252.51,487747.29,1,0
620,CASH_OUT,295205.08,C1005007866,295205.08,0.0,C930467576,55972.48,351177.56,1,0
613,CASH_OUT,327791.14,C1118147077,327791.14,0.0,C1575522252,175013.26,502804.4,1,0
39,CASH_OUT,7937954.2,C1581001485,7937954.2,0.0,C2012612648,2716480.56,10654434.76,1,0
365,TRANSFER,86258.11,C1449357986,86258.11,0.0,C185244782,0.0,0.0,1,0
519,TRANSFER,1049424.26,C448865084,1049424.26,0.0,C154141586,0.0,0.0,1,0
45,TRANSFER,7335355.57,C1102672587,7335355.57,0.0,C735323689,0.0,0.0,1,0
619,CASH_OUT,418971.0,C1299375115,418971.0,0.0,C559632898,2234184.24,2653155.23,1,0
132,CASH_OUT,190737.49,C367922797,190737.49,0.0,C697452731,1565285.75,1756023.24,1,0
736,CASH_OUT,1314660.84,C1660278884,1314660.84,0.0,C464467238,0.0,1314660.84,1,0
119,CASH_OUT,2040209.74,C248036406,2040209.74,0.0,C646526180,11240377.72,13280587.46,1,0
591,CASH_OUT,4863106.47,C819607740,4863106.47,0.0,C346707940,0.0,4863106.47,1,0
186,TRANSFER,327282.92,C2013471968,327282.92,0.0,C1637615155,0.0,0.0,1,0
284,TRANSFER,741277.85,C1574461768,741277.85,0.0,C16659988,0.0,0.0,1,0
654,TRANSFER,1290224.84,C296753895,1290224.84,0.0,C254269192,0.0,0.0,1,0
456,CASH_OUT,30548.46,C1387708046,30548.46,0.0,C1963829295,804314.46,834862.92,1,0
217,TRANSFER,81216.23,C1904718336,81216.23,0.0,C364331020,0.0,0.0,1,0
19,TRANSFER,3477438.49,C767243506,3477438.49,0.0,C1532877354,0.0,0.0,1,0
233,TRANSFER,48156.69,C2044046492,48156.69,0.0,C1686942753,0.0,0.0,1,0
645,CASH_OUT,214760.72,C219928629,214760.72,0.0,C1845454349,151605.62,366366.35,1,0
99,CASH_OUT,130653.37,C2001925235,130653.37,0.0,C238467459,89246.77,219900.14,1,0
367,CASH_OUT,362672.57,C1069202179,362672.57,0.0,C1808434552,3.51,362676.08,1,0
506,CASH_OUT,575082.97,C307372020,575082.97,0.0,C1513349035,0.0,575082.97,1,0
574,TRANSFER,58863.89,C1649037642,58863.89,0.0,C1806065948,0.0,0.0,1,0
610,CASH_OUT,298754.96,C87645050,298754.96,0.0,C1812719573,1865811.93,2164566.89,1,0
450,TRANSFER,10000000.0,C524119157,19228514.1,9228514.1,C1979637041,0.0,0.0,1,0
164,TRANSFER,329728.11,C1588740494,329728.11,0.0,C827087701,0.0,0.0,1,0
718,TRANSFER,9749042.95,C1040320190,9749042.95,0.0,C598263954,0.0,0.0,1,0
484,TRANSFER,26654.46,C755286039,26654.46,0.0,C2094079166,0.0,0.0,1,0
402,CASH_OUT,1301410.68,C756143103,1301410.68,0.0,C1385992736,307091.75,1608502.44,1,0
30,CASH_OUT,122235.11,C356571967,122235.11,0.0,C1905066109,0.0,122235.11,1,0
592,CASH_OUT,1170213.18,C408490456,1170213.18,0.0,C1143989341,236605.22,1406818.41,1,0
482,TRANSFER,75659.33,C807173004,75659.33,0.0,C1577384296,0.0,0.0,1,0
572,TRANSFER,262960.23,C1013385845,262960.23,0.0,C1547908337,0.0,0.0,1,0
441,CASH_OUT,1032168.79,C1659569966,1032168.79,0.0,C1072956803,805209.56,1837378.34,1,0
39,CASH_OUT,152042.16,C1395896953,152042.16,0.0,C45672156,710428.02,862470.18,1,0
741,TRANSFER,10000000.0,C88849251,25674547.89,15674547.89,C1939028448,0.0,0.0,1,0
211,CASH_OUT,1330802.24,C1458541760,1330802.24,0.0,C1092309864,151341.34,1515187.24,1,0
520,TRANSFER,2871898.5,C955101286,2871898.5,0.0,C1205312123,0.0,0.0,1,0
617,CASH_OUT,10000000.0,C1596180537,10000000.0,0.0,C2105645265,0.0,10000000.0,1,0
739,TRANSFER,8116.53,C2072430566,8116.53,0.0,C765215468,0.0,0.0,1,0
166,TRANSFER,1803411.53,C660401037,1803411.53,0.0,C1657963478,0.0,0.0,1,0
393,TRANSFER,432958.83,C1282477979,432958.83,0.0,C1783092125,0.0,0.0,1,0
261,TRANSFER,8639.93,C160052939,8639.93,0.0,C671509828,0.0,0.0,1,0
303,TRANSFER,199870.29,C37736433,199870.29,0.0,C279131656,0.0,0.0,1,0
635,TRANSFER,1387048.31,C1020800306,1387048.31,0.0,C2090609585,0.0,0.0,1,0
330,TRANSFER,19692.68,C1019553772,19692.68,0.0,C1806361762,0.0,0.0,1,0
590,CASH_OUT,498183.25,C104610866,498183.25,0.0,C1054580696,107993.04,606176.29,1,0
554,CASH_OUT,10000000.0,C291823113,10000000.0,0.0,C1546786985,0.0,10000000.0,1,0
685,TRANSFER,4886423.05,C557894266,4886423.05,0.0,C1725513942,0.0,0.0,1,0
41,TRANSFER,581889.94,C518343264,581889.94,0.0,C596058183,0.0,0.0,1,0
182,TRANSFER,767755.17,C304885039,767755.17,0.0,C2068840304,0.0,0.0,1,0
653,TRANSFER,598426.68,C652500321,598426.68,0.0,C430642994,0.0,0.0,1,0
164,CASH_OUT,177680.54,C741693784,177680.54,0.0,C1246356701,158560.03,336240.57,1,0
223,TRANSFER,334890.91,C1711836423,334890.91,0.0,C1676868220,0.0,0.0,1,0
400,CASH_OUT,130278.99,C2081998466,130278.99,0.0,C1015309209,690756.3,821035.3,1,0
658,CASH_OUT,1641792.79,C140720435,1641792.79,0.0,C993905449,536929.18,2178721.97,1,0
434,CASH_OUT,4152987.1,C1200746478,4152987.1,0.0,C1248241557,45694.34,4198681.44,1,0
128,CASH_OUT,3062506.58,C1347372630,3062506.58,0.0,C1738146204,0.0,3062506.58,1,0
126,TRANSFER,5245375.3,C823324093,5245375.3,0.0,C1906616566,0.0,0.0,1,0
46,CASH_OUT,71372.0,C313736303,71372.0,0.0,C935310781,613464.04,684836.04,1,0
84,CASH_OUT,39379.45,C743472915,39379.45,0.0,C165832169,188532.97,227912.43,1,0
401,TRANSFER,125822.44,C675569506,125822.44,0.0,C631063987,0.0,0.0,1,0
643,CASH_OUT,1707.4,C933301215,1707.4,0.0,C306147226,0.0,1707.4,1,0
705,CASH_OUT,353090.95,C793449159,353090.95,0.0,C985064489,257783.54,610874.48,1,0
435,TRANSFER,365332.78,C815195284,365332.78,0.0,C181224560,0.0,0.0,1,0
63,TRANSFER,197226.65,C1538536157,197226.65,0.0,C1896614473,0.0,0.0,1,0
394,CASH_OUT,49950.63,C1528504862,49950.63,0.0,C1778014932,460576.82,510527.45,1,0
575,TRANSFER,1489916.19,C872785069,1489916.19,0.0,C2067948985,0.0,0.0,1,0
85,TRANSFER,4094.07,C810305173,4094.07,0.0,C600417404,0.0,0.0,1,0
105,TRANSFER,2988103.3,C257797783,2988103.3,0.0,C1647613503,0.0,0.0,1,0
502,CASH_OUT,73051.02,C257009232,73051.02,0.0,C2051261530,6049.33,79100.35,1,0
637,CASH_OUT,3845765.36,C2141919864,3845765.36,0.0,C1371101627,0.0,3845765.36,1,0
224,TRANSFER,107351.33,C1345101920,107351.33,0.0,C2138212554,0.0,0.0,1,0
261,TRANSFER,591032.52,C1420583441,591032.52,0.0,C1377219388,0.0,0.0,1,0
523,CASH_OUT,248799.49,C853284926,248799.49,0.0,C1409000148,323143.23,571942.72,1,0
6,CASH_OUT,13704.0,C1421965867,13704.0,0.0,C1438594533,3382.84,143675.35,1,0
239,CASH_OUT,63944.13,C963749685,63944.13,0.0,C816242963,3034987.39,3098931.52,1,0
616,CASH_OUT,1265656.44,C198942679,1265656.44,0.0,C154881805,653351.54,1919007.98,1,0
144,TRANSFER,325732.34,C1544110174,325732.34,0.0,C2112676621,0.0,0.0,1,0
300,TRANSFER,264058.41,C519152863,264058.41,0.0,C987555684,0.0,0.0,1,0
381,TRANSFER,102256.57,C525941534,102256.57,0.0,C521981840,0.0,0.0,1,0
66,CASH_OUT,2096634.43,C65342125,2096634.43,0.0,C282355647,183429.98,2280064.41,1,0
337,CASH_OUT,88748.63,C1502031409,88748.63,0.0,C997271871,664794.37,753543.0,1,0
639,CASH_OUT,49199.2,C929319226,49199.2,0.0,C1153867548,0.0,49199.2,1,0
