step,customer,age,gender,merchant,category,amount,fraud
76,C2126946323,2,F,M348934600,es_transportation,19.9,0
113,C605522883,2,M,M348934600,es_transportation,36.22,0
41,C968150727,2,F,M348934600,es_transportation,33.88,0
19,C599293124,4,F,M348934600,es_transportation,39.91,0
106,C602096181,1,F,M85975013,es_food,33.51,0
162,C1092769857,5,F,M348934600,es_transportation,7.25,0
77,C1409858085,2,F,M1823072687,es_transportation,60.61,0
112,C572958608,2,M,M1823072687,es_transportation,18.01,0
122,C1967337226,4,M,M348934600,es_transportation,35.95,0
109,C1765886577,4,F,M348934600,es_transportation,9.86,0
63,C1862556322,3,F,M348934600,es_transportation,63.76,0
166,C96508773,4,F,M1823072687,es_transportation,25.96,0
72,C119537158,4,F,M1823072687,es_transportation,63.31,0
86,C959506480,1,F,M1823072687,es_transportation,47.97,0
118,C1705927875,3,M,M209847108,es_wellnessandbeauty,43.68,0
115,C649077628,3,F,M1823072687,es_transportation,5.78,0
159,C574852748,4,F,M1823072687,es_transportation,7.63,0
166,C1801713151,4,F,M1823072687,es_transportation,42.91,0
5,C150587559,2,F,M151143676,es_barsandrestaurants,31.42,0
41,C1663641926,6,F,M1823072687,es_transportation,40.11,0
168,C1166355595,4,F,M855959430,es_hyper,24.35,0
10,C1402203755,3,M,M348934600,es_transportation,33.21,0
127,C74848504,3,F,M1823072687,es_transportation,13.1,0
43,C471003383,3,F,M1823072687,es_transportation,47.59,0
57,C1520919939,4,M,M348934600,es_transportation,3.12,0
139,C344259725,3,M,M1823072687,es_transportation,20.74,0
126,C2117552812,1,F,M1823072687,es_transportation,18.15,0
83,C1642222517,4,F,M1823072687,es_transportation,64.77,0
154,C108266856,3,F,M348934600,es_transportation,5.42,0
93,C869565327,5,F,M1823072687,es_transportation,8.68,0
113,C1283534588,3,M,M1053599405,es_health,37.13,0
119,C923919564,3,F,M348934600,es_transportation,0.35,0
32,C1950237952,4,F,M348934600,es_transportation,58.56,0
64,C1196579721,2,F,M1823072687,es_transportation,7.16,0
98,C1171622243,5,M,M348934600,es_transportation,24.92,0
81,C1018653381,2,F,M1823072687,es_transportation,20.79,0
142,C965952231,5,M,M1823072687,es_transportation,3.11,0
147,C1141524074,3,M,M1823072687,es_transportation,38.7,0
47,C1139909458,3,F,M348934600,es_transportation,34.11,0
139,C755108533,4,F,M1823072687,es_transportation,52.6,0
149,C1419246450,3,M,M348934600,es_transportation,30.77,0
43,C472989518,3,M,M348934600,es_transportation,10.72,0
165,C1931900243,5,F,M85975013,es_food,23.32,0
96,C1058213633,2,M,M348934600,es_transportation,27.03,0
53,C1014347664,6,M,M151143676,es_barsandrestaurants,25.08,0
143,C1035581047,5,M,M1823072687,es_transportation,15.1,0
173,C635222317,3,F,M1823072687,es_transportation,31.96,0
117,C1821582093,6,F,M348934600,es_transportation,42.29,0
164,C1615671416,6,F,M348934600,es_transportation,10.04,0
70,C497088099,2,M,M1823072687,es_transportation,31.16,0
50,C650108285,4,F,M1823072687,es_transportation,34.4,0
89,C213197624,4,F,M85975013,es_food,34.43,0
144,C95356,1,M,M348934600,es_transportation,4.36,0
106,C1092512638,3,F,M85975013,es_food,76.54,0
34,C1577104524,2,M,M348934600,es_transportation,8.43,0
6,C1079965849,2,M,M1535107174,es_wellnessandbeauty,64.0,0
145,C1602614455,5,M,M348934600,es_transportation,33.34,0
116,C346030769,5,F,M348934600,es_transportation,55.32,0
83,C1862556322,3,F,M348934600,es_transportation,0.92,0
158,C1433132752,3,M,M85975013,es_food,9.42,0
90,C1512444326,3,F,M1823072687,es_transportation,30.68,0
167,C1703648667,2,F,M1823072687,es_transportation,47.88,0
44,C1133298590,3,M,M348934600,es_transportation,35.43,0
89,C481253497,3,F,M348934600,es_transportation,6.61,0
45,C236847402,3,M,M1823072687,es_transportation,7.31,0
11,C1717543260,3,M,M1823072687,es_transportation,13.74,0
32,C1698653726,2,M,M348934600,es_transportation,29.79,0
62,C1130847219,4,M,M348934600,es_transportation,58.22,0
89,C756645719,2,F,M348934600,es_transportation,10.09,0
10,C1075787773,3,M,M348934600,es_transportation,18.88,0
57,C1734948367,3,M,M1823072687,es_transportation,36.56,0
15,C2129964241,2,M,M348934600,es_transportation,37.36,0
131,C1474149613,2,M,M1823072687,es_transportation,2.71,0
160,C664109131,2,F,M1823072687,es_transportation,62.35,0
167,C55178455,3,M,M1823072687,es_transportation,17.3,0
175,C912222039,5,F,M348934600,es_transportation,47.4,0
66,C533940472,3,M,M1823072687,es_transportation,13.96,0
99,C99017559,3,M,M1946091778,es_wellnessandbeauty,59.76,0
160,C886993530,3,M,M1823072687,es_transportation,9.28,0
47,C299068475,5,F,M348934600,es_transportation,31.83,0
167,C1632035340,6,M,M151143676,es_barsandrestaurants,21.95,0
170,C1258725927,4,M,M45060432,es_hotelservices,142.58,0
116,C2026269026,3,M,M1823072687,es_transportation,7.77,0
60,C98091448,2,F,M348934600,es_transportation,27.0,0
15,C1152092987,3,M,M348934600,es_transportation,39.89,0
154,C954150626,6,F,M348934600,es_transportation,48.05,0
69,C1100510913,2,M,M1823072687,es_transportation,5.71,0
7,C1031698099,0,M,M348934600,es_transportation,44.2,0
131,C1998442183,3,F,M1823072687,es_transportation,15.95,0
41,C923919564,3,F,M348934600,es_transportation,75.63,0
112,C430016376,3,F,M348934600,es_transportation,41.45,0
172,C1043677034,2,M,M1823072687,es_transportation,16.69,0
89,C138375181,5,F,M1823072687,es_transportation,17.95,0
51,C10263180,3,F,M1823072687,es_transportation,25.08,0
42,C1419246450,3,M,M1823072687,es_transportation,14.74,0
25,C1396720108,1,M,M1823072687,es_transportation,30.31,0
137,C1253760419,2,F,M1823072687,es_transportation,44.56,0
25,C2138823885,4,M,M348934600,es_transportation,14.91,0
133,C68881864,2,M,M348934600,es_transportation,43.1,0
101,C1136643517,5,M,M1823072687,es_transportation,26.1,0
85,C467035555,2,F,M348934600,es_transportation,17.07,0
150,C1684213034,4,M,M1823072687,es_transportation,0.45,0
118,C758426828,2,M,M1823072687,es_transportation,15.0,0
13,C362654279,2,F,M348934600,es_transportation,5.93,0
63,C1984083185,3,F,M348934600,es_transportation,31.13,0
66,C300052027,1,F,M348934600,es_transportation,54.94,0
178,C1723242462,5,M,M348934600,es_transportation,17.76,0
167,C521436442,3,F,M1823072687,es_transportation,6.23,0
14,C172921013,5,M,M348934600,es_transportation,17.18,0
103,C986553990,5,F,M1823072687,es_transportation,41.1,0
36,C998690782,2,M,M840466850,es_tech,20.42,0
118,C33256704,4,F,M348934600,es_transportation,65.16,0
111,C2070935783,1,F,M1823072687,es_transportation,44.04,0
144,C913662681,5,M,M1823072687,es_transportation,55.02,0
176,C604378279,5,F,M855959430,es_hyper,5.84,0
66,C1035222482,1,F,M348934600,es_transportation,12.09,0
163,C722447556,2,F,M348934600,es_transportation,27.86,0
110,C1343106500,4,F,M1823072687,es_transportation,43.17,0
124,C1100361227,4,F,M1823072687,es_transportation,20.42,0
90,C1955375790,3,M,M348934600,es_transportation,59.93,0
62,C168579211,3,F,M1823072687,es_transportation,3.25,0
53,C46234453,3,F,M1823072687,es_transportation,57.69,0
20,C1728647108,2,M,M1823072687,es_transportation,59.05,0
11,C2040640036,1,F,M348934600,es_transportation,21.85,0
88,C719332132,2,F,M1823072687,es_transportation,11.25,0
9,C366601563,1,F,M348934600,es_transportation,12.52,0
17,C1547534233,2,F,M348934600,es_transportation,56.27,0
32,C276623362,4,M,M151143676,es_barsandrestaurants,17.05,0
23,C1700159150,4,F,M1823072687,es_transportation,33.17,0
2,C390271010,3,F,M348934600,es_transportation,5.73,0
63,C2006367089,6,F,M1823072687,es_transportation,58.9,0
32,C1777502922,2,F,M480139044,es_health,691.39,1
19,C1057285507,5,M,M1823072687,es_transportation,24.89,0
162,C1808385426,2,M,M1823072687,es_transportation,9.26,0
138,C1143297842,2,M,M348934600,es_transportation,39.41,0
106,C116386695,2,M,M1823072687,es_transportation,17.88,0
169,C1187979419,2,F,M348934600,es_transportation,18.25,0
25,C203427830,2,F,M348934600,es_transportation,11.58,0
36,C1729776721,4,M,M348934600,es_transportation,20.65,0
64,C1883823119,4,M,M1823072687,es_transportation,15.48,0
170,C1396527012,3,F,M1823072687,es_transportation,29.43,0
54,C1338020899,3,M,M348934600,es_transportation,35.03,0
59,C1988025089,2,F,M348934600,es_transportation,12.94,0
89,C1135201785,4,M,M1823072687,es_transportation,42.87,0
37,C2120153320,2,F,M1946091778,es_wellnessandbeauty,53.51,0
150,C1502465707,4,F,M348934600,es_transportation,31.06,0
126,C745099746,3,F,M1823072687,es_transportation,31.26,0
140,C706757729,3,M,M1823072687,es_transportation,17.37,0
169,C823286801,2,F,M1823072687,es_transportation,58.55,0
41,C1761085759,3,F,M1823072687,es_transportation,9.51,0
132,C23740594,3,M,M1823072687,es_transportation,41.41,0
0,C300112558,1,F,M348934600,es_transportation,26.27,0
169,C1267913176,2,M,M1823072687,es_transportation,31.46,0
74,C417912401,3,F,M1913465890,es_health,368.51,0
50,C1977646698,3,F,M1823072687,es_transportation,12.07,0
168,C1645276019,2,M,M1823072687,es_transportation,11.0,0
20,C914285365,4,M,M209847108,es_wellnessandbeauty,103.91,0
28,C1194320883,4,F,M348934600,es_transportation,34.86,0
132,C896659218,4,F,M1823072687,es_transportation,26.16,0
165,C1342849651,1,M,M1823072687,es_transportation,31.83,0
133,C1783206868,5,F,M348934600,es_transportation,36.46,0
74,C366069783,4,F,M1823072687,es_transportation,30.6,0
102,C958780730,4,M,M1823072687,es_transportation,45.3,0
142,C545102882,4,F,M1823072687,es_transportation,60.63,0
35,C1732609230,3,F,M855959430,es_hyper,78.19,0
48,C68881864,2,M,M348934600,es_transportation,29.46,0
99,C1956819896,2,M,M1823072687,es_transportation,15.36,0
77,C879949041,3,F,M1823072687,es_transportation,42.69,0
123,C373567366,4,F,M1823072687,es_transportation,19.58,0
129,C694265356,3,F,M1823072687,es_transportation,11.3,0
57,C643323409,2,M,M349281107,es_fashion,67.29,0
41,C374053775,3,M,M348934600,es_transportation,30.64,0
4,C1163635747,4,M,M348934600,es_transportation,22.44,0
48,C719332132,2,F,M348934600,es_transportation,18.05,0
51,C228882909,2,M,M1823072687,es_transportation,48.42,0
56,C765155274,1,F,M1823072687,es_transportation,44.16,0
145,C1897689911,3,M,M1823072687,es_transportation,39.8,0
148,C682529129,3,F,M1823072687,es_transportation,32.15,0
173,C1809615650,4,M,M348934600,es_transportation,36.58,0
44,C637831009,3,F,M1823072687,es_transportation,33.18,0
145,C2035771335,2,F,M1823072687,es_transportation,36.76,0
45,C1320066686,2,F,M348934600,es_transportation,16.54,0
7,C905744010,2,F,M348934600,es_transportation,7.42,0
70,C686669439,3,F,M348934600,es_transportation,21.0,0
64,C1014313887,5,F,M348934600,es_transportation,13.65,0
23,C1327124397,2,M,M1823072687,es_transportation,22.9,0
6,C286547187,2,M,M348934600,es_transportation,31.55,0
165,C1014124305,1,M,M855959430,es_hyper,23.53,0
64,C1815981756,4,F,M1823072687,es_transportation,22.86,0
80,C268949400,4,M,M1823072687,es_transportation,26.05,0
118,C929298953,4,M,M151143676,es_barsandrestaurants,51.98,0
163,C698358493,4,M,M1823072687,es_transportation,37.35,0
68,C892943299,3,F,M1823072687,es_transportation,50.92,0
48,C262404738,1,F,M348934600,es_transportation,12.85,0
23,C417912401,3,F,M1053599405,es_health,5.28,0
145,C1876642037,4,M,M348934600,es_transportation,15.03,0
111,C1929968596,2,F,M1823072687,es_transportation,25.09,0
162,C486996910,4,M,M1600850729,es_fashion,15.65,0
124,C554819698,3,M,M151143676,es_barsandrestaurants,105.78,0
28,C1933962406,2,F,M348934600,es_transportation,34.42,0
43,C673048498,2,M,M348934600,es_transportation,49.36,0
41,C1457264318,3,F,M1823072687,es_transportation,56.93,0
51,C1818841328,2,M,M348934600,es_transportation,6.63,0
61,C1807452084,3,F,M151143676,es_barsandrestaurants,101.34,0
171,C1480799932,6,M,M1946091778,es_wellnessandbeauty,82.05,0
178,C1960639712,2,F,M1823072687,es_transportation,8.38,0
115,C763005836,3,F,M1823072687,es_transportation,36.93,0
87,C598452144,3,M,M1823072687,es_transportation,22.63,0
74,C1638237205,3,M,M348934600,es_transportation,0.04,0
83,C1234264195,5,F,M1823072687,es_transportation,25.11,0
126,C1732568163,4,F,M1823072687,es_transportation,0.23,0
122,C2104407126,2,F,M85975013,es_food,24.1,0
98,C1539370210,3,M,M1823072687,es_transportation,40.02,0
154,C846682077,3,M,M85975013,es_food,28.25,0
98,C1226558289,4,M,M1823072687,es_transportation,24.83,0
94,C718962269,3,F,M1823072687,es_transportation,0.18,0
85,C469822988,2,F,M348934600,es_transportation,21.4,0
160,C956414645,2,F,M1823072687,es_transportation,36.55,0
136,C1816212551,1,F,M1823072687,es_transportation,35.74,0
55,C2084933658,1,F,M1823072687,es_transportation,3.61,0
92,C1717543260,3,M,M1823072687,es_transportation,17.72,0
113,C279066833,2,F,M1823072687,es_transportation,17.19,0
90,C102256008,3,M,M348934600,es_transportation,32.38,0
95,C967109509,5,M,M1823072687,es_transportation,34.74,0
159,C155920620,2,M,M348934600,es_transportation,2.47,0
6,C1419235351,4,M,M348934600,es_transportation,37.54,0
100,C635222317,3,F,M1823072687,es_transportation,29.03,0
118,C1057259459,3,F,M1198415165,es_wellnessandbeauty,49.46,0
156,C1331123896,2,M,M1823072687,es_transportation,1.16,0
88,C1378412230,2,F,M1823072687,es_transportation,36.9,0
118,C1154612561,1,M,M1823072687,es_transportation,0.12,0
77,C1814870538,3,M,M1823072687,es_transportation,32.62,0
90,C1078351181,2,F,M209847108,es_wellnessandbeauty,109.1,0
133,C1304286493,1,M,M1823072687,es_transportation,41.14,0
29,C1953142190,2,M,M1823072687,es_transportation,25.62,0
104,C864655240,2,F,M1823072687,es_transportation,9.52,0
24,C285306155,2,M,M348934600,es_transportation,37.15,0
67,C1035581047,5,M,M1823072687,es_transportation,28.83,0
113,C1224222502,1,M,M348934600,es_transportation,39.42,0
122,C1468082478,4,F,M1823072687,es_transportation,30.08,0
122,C2145448250,5,F,M1823072687,es_transportation,2.78,0
18,C644590864,1,M,M1823072687,es_transportation,55.26,0
109,C2112563194,2,F,M1823072687,es_transportation,36.2,0
112,C1156509589,2,F,M1823072687,es_transportation,5.07,0
162,C168361707,4,F,M1823072687,es_transportation,16.05,0
52,C1855857061,4,F,M348934600,es_transportation,48.06,0
2,C295271306,6,F,M1823072687,es_transportation,0.79,0
60,C424790668,2,F,M348934600,es_transportation,12.87,0
104,C574062699,2,M,M1823072687,es_transportation,54.7,0
99,C2049382420,3,M,M1823072687,es_transportation,28.11,0
167,C1967337226,4,M,M1823072687,es_transportation,32.99,0
70,C2136553361,2,F,M1823072687,es_transportation,25.19,0
117,C598089944,2,M,M85975013,es_food,14.27,0
87,C1533000663,4,F,M348934600,es_transportation,25.07,0
154,C232299558,3,F,M840466850,es_tech,86.97,0
107,C470079617,5,F,M348934600,es_transportation,26.23,0
36,C480975116,2,M,M348934600,es_transportation,33.62,0
55,C306854291,4,F,M85975013,es_food,20.91,0
67,C1403689550,2,F,M348934600,es_transportation,8.11,0
136,C1211514218,3,M,M480139044,es_health,599.56,1
2,C1743392358,4,M,M348934600,es_transportation,3.67,0
175,C1160118068,2,M,M1823072687,es_transportation,14.26,0
179,C1370556911,1,M,M1823072687,es_transportation,47.87,0
42,C1141582476,2,F,M85975013,es_food,57.57,0
59,C342410301,3,F,M1823072687,es_transportation,12.96,0
147,C1952969809,4,F,M348934600,es_transportation,43.76,0
33,C2111849765,2,M,M1823072687,es_transportation,47.54,0
115,C1903765775,3,M,M1823072687,es_transportation,25.24,0
166,C1941625566,3,F,M1823072687,es_transportation,43.27,0
132,C1812521679,4,M,M1823072687,es_transportation,23.92,0
106,C458379262,5,F,M1823072687,es_transportation,21.12,0
9,C46027917,5,F,M980657600,es_sportsandtoys,546.86,1
159,C1009080922,3,F,M1823072687,es_transportation,10.69,0
43,C2121874810,4,F,M348934600,es_transportation,34.85,0
51,C2094478222,4,F,M348934600,es_transportation,12.84,0
142,C1630697663,4,F,M1823072687,es_transportation,2.98,0
97,C320437746,3,F,M1823072687,es_transportation,42.68,0
126,C1020192133,3,M,M1823072687,es_transportation,19.95,0
165,C328208842,3,F,M1823072687,es_transportation,48.46,0
134,C1055224400,3,F,M348934600,es_transportation,13.29,0
84,C2100371435,2,F,M1823072687,es_transportation,32.08,0
168,C868061193,3,F,M1823072687,es_transportation,34.84,0
111,C339075311,3,F,M348934600,es_transportation,19.34,0
31,C1242643189,3,F,M1823072687,es_transportation,39.48,0
79,C1969886762,4,M,M855959430,es_hyper,21.31,0
69,C883803148,1,F,M1823072687,es_transportation,56.6,0
149,C1170049298,5,F,M1823072687,es_transportation,22.29,0
43,C336519851,3,F,M1823072687,es_transportation,16.26,0
96,C965952231,5,M,M348934600,es_transportation,19.95,0
156,C846609537,5,M,M1823072687,es_transportation,24.58,0
166,C1210957250,3,F,M1823072687,es_transportation,6.46,0
82,C1844076143,2,M,M78078399,es_wellnessandbeauty,100.64,0
52,C1933962406,2,F,M495352832,es_travel,798.7,0
21,C290487175,5,M,M1823072687,es_transportation,3.1,0
159,C767740583,2,F,M1823072687,es_transportation,9.52,0
18,C1483054025,1,F,M348934600,es_transportation,46.63,0
61,C1769470125,2,F,M1053599405,es_health,175.03,0
123,C1656440641,2,M,M1823072687,es_transportation,14.29,0
50,C582173326,4,F,M1823072687,es_transportation,41.12,0
160,C1509106340,4,F,M1823072687,es_transportation,48.05,0
102,C800272493,2,F,M209847108,es_wellnessandbeauty,21.78,0
122,C559952121,4,F,M1823072687,es_transportation,19.04,0
149,C698318224,2,F,M1823072687,es_transportation,20.22,0
127,C1432825682,3,M,M1946091778,es_wellnessandbeauty,127.23,0
6,C2117938225,4,M,M1535107174,es_wellnessandbeauty,8.31,0
87,C682529129,3,F,M1823072687,es_transportation,51.33,0
91,C1772071898,5,F,M348934600,es_transportation,15.17,0
49,C515668508,3,F,M85975013,es_food,23.01,0
119,C2117552812,1,F,M1823072687,es_transportation,81.72,0
3,C347987512,2,F,M348934600,es_transportation,31.65,0
65,C1256073744,3,M,M1823072687,es_transportation,33.69,0
30,C1786430014,1,F,M1823072687,es_transportation,15.22,0
39,C927830595,6,F,M348934600,es_transportation,22.92,0
14,C1767929602,2,F,M1823072687,es_transportation,3.24,0
97,C1105086283,1,F,M1823072687,es_transportation,31.12,0
20,C1216409727,3,F,M348934600,es_transportation,38.14,0
138,C559852072,5,M,M348934600,es_transportation,25.82,0
24,C2144163136,1,F,M348934600,es_transportation,20.37,0
5,C1101722853,6,F,M348934600,es_transportation,17.61,0
29,C1676378077,2,F,M1823072687,es_transportation,28.23,0
148,C497246334,6,F,M1823072687,es_transportation,38.34,0
113,C881776576,2,M,M348934600,es_transportation,13.93,0
99,C483009385,3,F,M1823072687,es_transportation,10.84,0
112,C1511894714,3,M,M1823072687,es_transportation,66.32,0
154,C1122835446,2,F,M1823072687,es_transportation,22.35,0
83,C1793707767,4,F,M1823072687,es_transportation,7.5,0
153,C1846274338,3,M,M1823072687,es_transportation,4.5,0
87,C1007572087,2,F,M348934600,es_transportation,44.52,0
151,C1808704110,3,F,M348934600,es_transportation,9.57,0
173,C1694039833,6,F,M1823072687,es_transportation,54.34,0
153,C1007790716,2,M,M1823072687,es_transportation,34.13,0
111,C1933962406,2,F,M1823072687,es_transportation,44.63,0
155,C1440474435,2,M,M1823072687,es_transportation,14.04,0
21,C497246334,6,F,M2122776122,es_home,104.49,0
143,C644663928,2,M,M348934600,es_transportation,41.66,0
5,C1876642037,4,M,M348934600,es_transportation,59.94,0
110,C755108533,4,F,M1823072687,es_transportation,37.62,0
103,C227356089,2,F,M1823072687,es_transportation,52.33,0
175,C2132909556,2,M,M1823072687,es_transportation,29.96,0
51,C431496464,2,M,M732195782,es_travel,2410.7,1
82,C1949984685,2,F,M85975013,es_food,27.15,0
114,C1974668487,2,M,M1823072687,es_transportation,30.65,0
128,C707234445,2,M,M1823072687,es_transportation,0.73,0
71,C1403935304,3,M,M348934600,es_transportation,12.84,0
50,C1312448128,4,F,M1823072687,es_transportation,20.74,0
79,C724380392,2,F,M1823072687,es_transportation,33.95,0
119,C1499092508,5,M,M855959430,es_hyper,48.27,0
158,C892586401,4,M,M855959430,es_hyper,55.02,0
131,C438957460,4,M,M85975013,es_food,13.93,0
160,C1940951230,2,F,M85975013,es_food,40.86,0
147,C2087715408,3,F,M1823072687,es_transportation,47.09,0
11,C1005126300,4,F,M1823072687,es_transportation,72.69,0
134,C1494778598,3,M,M348934600,es_transportation,17.58,0
36,C62153477,3,M,M1823072687,es_transportation,51.83,0
83,C1615671416,6,F,M1823072687,es_transportation,23.18,0
36,C696806398,2,F,M348934600,es_transportation,2.01,0
10,C717345438,3,M,M1823072687,es_transportation,7.5,0
19,C660024200,2,F,M209847108,es_wellnessandbeauty,29.48,0
171,C419087520,2,M,M1823072687,es_transportation,22.02,0
112,C1295945354,2,F,M1823072687,es_transportation,4.33,0
100,C201406562,3,M,M348934600,es_transportation,40.93,0
31,C1861439904,1,M,M348934600,es_transportation,40.14,0
179,C904725981,1,F,M348934600,es_transportation,13.96,0
26,C871505790,2,F,M348934600,es_transportation,25.34,0
11,C2011457912,4,F,M348934600,es_transportation,34.44,0
14,C1714676783,3,M,M348934600,es_transportation,25.03,0
115,C22162402,2,M,M1823072687,es_transportation,2.65,0
169,C701909142,3,F,M1823072687,es_transportation,16.34,0
13,C1100276718,1,F,M1823072687,es_transportation,5.1,0
154,C980876590,2,F,M348934600,es_transportation,48.09,0
84,C811638781,2,F,M1823072687,es_transportation,26.5,0
8,C1743392358,4,M,M78078399,es_wellnessandbeauty,63.74,0
51,C1209363182,3,F,M1823072687,es_transportation,47.45,0
80,C1644291222,2,F,M1823072687,es_transportation,30.86,0
15,C1812702959,3,F,M1823072687,es_transportation,27.62,0
167,C1097812196,6,M,M1823072687,es_transportation,51.16,0
10,C1844695541,4,F,M1823072687,es_transportation,8.07,0
67,C2144330803,2,M,M50039827,es_health,78.23,0
135,C1501782229,5,F,M1823072687,es_transportation,4.94,0
81,C1207205377,4,M,M1823072687,es_transportation,20.52,0
54,C25346278,3,M,M348934600,es_transportation,3.5,0
96,C1452020181,5,M,M1823072687,es_transportation,8.89,0
80,C871505790,2,F,M348934600,es_transportation,32.15,0
60,C648063518,3,M,M348934600,es_transportation,29.52,0
73,C105013970,3,M,M348934600,es_transportation,26.34,0
